Day,Attire,Inspo Image
Friday︱Denim + Desert Tones,"👖Denim, indigo, rust, terracotta, and turquoise. Creative Canadian tuxedos encouraged!💠",Denim + Desert Tones.png
Saturday AM︱Desert Ease,"😎Neutral athleisure (sneakers, linen layers), hats + sunglasses🧢",Desert Ease.png
Saturday Afternoon︱Desert Afterlife,"💀Swimsuits (black, rust, deep red, metallics) & western or spooky accessories, think cowboy hats, bandanas, metallic eyeliner, or braids🤠",Desert Afterlife.png
Saturday PM︱Desert Disco,"🪩Colorful sequins, metallics, platforms, bold makeup, and an “hair-up energy” kind of night🕺",Desert Disco.png
Sunday AM︱Soft Girl Sunday,"💆🏻‍♀️Linen sets, neutrals, slides, comfy cozy (robes for spa moments)🧖🏻‍♀️",Soft Girl Sunday.png
Sunday PM︱Desert Sunset,"🌅Flowy, warm-toned, golden hues, and effortless🏜️",Desert Sunset.png
Monday︱Anything goes!,🙂Come as you are🧳,Come as you are.png
